日付,小計
2020/2/4,0
2020/2/5,0
2020/2/6,2
2020/2/7,0
2020/2/8,0
2020/2/9,1
2020/2/10,0
2020/2/11,0
2020/2/12,0
2020/2/13,0
2020/2/14,1
2020/2/15,0
2020/2/16,0
2020/2/17,0
2020/2/18,2
2020/2/19,2
2020/2/20,3
2020/2/21,2
2020/2/22,0
2020/2/23,2
2020/2/24,0
2020/2/25,2
2020/2/26,2
2020/2/27,4
2020/2/28,4
2020/2/29,1
2020/3/1,0
2020/3/2,0
2020/3/3,7
2020/3/4,1
2020/3/5,3
2020/3/6,16
2020/3/7,5
2020/3/8,0
2020/3/9,5
2020/3/10,10
2020/3/11,7
2020/3/12,3
2020/3/13,8
2020/3/14,5
2020/3/15,3
2020/3/16,3
2020/3/17,18
2020/3/18,14
2020/3/19,6
2020/3/20,12
2020/3/21,0
2020/3/22,4
2020/3/23,3
2020/3/24,11
2020/3/25,5
2020/3/26,7
2020/3/27,11
2020/3/28,15
2020/3/29,4
2020/3/30,2
2020/3/31,15
2020/4/1,20
2020/4/2,19
2020/4/3,22
2020/4/4,28
2020/4/5,7
2020/4/6,6
2020/4/7,45
2020/4/8,30
2020/4/9,44
2020/4/10,34
2020/4/11,39
2020/4/12,15
2020/4/13,11
2020/4/14,48
2020/4/15,37
2020/4/16,80
2020/4/17,47
2020/4/18,72
2020/4/19,27
2020/4/20,8
2020/4/21,67
2020/4/22,46
2020/4/23,84
2020/4/24,74
2020/4/25,53
2020/4/26,11
2020/4/27,4
2020/4/28,37
2020/4/29,34
2020/4/30,9
2020/5/1,25
2020/5/2,32
2020/5/3,11
2020/5/4,7
2020/5/5,2
2020/5/6,12
2020/5/7,6
2020/5/8,35
2020/5/9,25
2020/5/10,12
2020/5/11,6
2020/5/12,28
2020/5/13,21
2020/5/14,18
2020/5/15,27
2020/5/16,26
2020/5/17,14
2020/5/18,3
2020/5/19,24
2020/5/20,26
2020/5/21,19
2020/5/22,18
2020/5/23,28
2020/5/24,4
2020/5/25,3
2020/5/26,22
2020/5/27,33
2020/5/28,28
2020/5/29,18
2020/5/30,30
2020/5/31,4
2020/6/1,3
2020/6/2,15
2020/6/3,22
2020/6/4,15
2020/6/5,20
2020/6/6,26
2020/6/7,10
2020/6/8,3
2020/6/9,8
2020/6/10,25
2020/6/11,21
2020/6/12,15
2020/6/13,38
2020/6/14,12
2020/6/15,2
2020/6/16,8
2020/6/17,34
2020/6/18,15
2020/6/19,24
2020/6/20,40
2020/6/21,2
2020/6/22,25
2020/6/23,5
2020/6/24,26
2020/6/25,15
2020/6/26,25
2020/6/27,30
2020/6/28,4
2020/6/29,1
2020/6/30,8
2020/7/1,26
2020/7/2,30
2020/7/3,62
2020/7/4,53
2020/7/5,3
2020/7/6,0
2020/7/7,39
2020/7/8,27
2020/7/9,33
2020/7/10,51
2020/7/11,58
2020/7/12,2
2020/7/13,5
2020/7/14,105
2020/7/15,53
2020/7/16,91
2020/7/17,43
2020/7/18,102
2020/7/19,10
2020/7/20,11
2020/7/21,39
2020/7/22,83
